Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SanityTests,Chrome 63.0.3239.84,,2017-12-22 22:35:57,2017-12-22 22:36:22,25.006s,PASSED
,,,,,,
Test Cases/Login,Chrome 63.0.3239.84,,2017-12-22 22:35:58,2017-12-22 22:36:21,23.415s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-22 22:35:59,2017-12-22 22:36:19,20.031s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 22:36:19,2017-12-22 22:36:20,0.788s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 22:36:20,2017-12-22 22:36:21,0.674s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 22:36:21,2017-12-22 22:36:21,0.399s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 22:36:21,2017-12-22 22:36:21,0.195s,PASSED
