Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SanityTests,Chrome 63.0.3239.84,,2017-12-22 22:59:10,2017-12-22 23:00:43,1m - 32.675s,FAILED
,,,,,,
Test Cases/Login,Chrome 63.0.3239.84,,2017-12-22 22:59:11,2017-12-22 22:59:26,15.740s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-22 22:59:11,2017-12-22 22:59:24,12.798s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 22:59:24,2017-12-22 22:59:24,0.178s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 22:59:24,2017-12-22 22:59:25,0.620s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 22:59:25,2017-12-22 22:59:25,0.271s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 22:59:25,2017-12-22 22:59:25,0.182s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 22:59:25,2017-12-22 22:59:26,0.728s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 22:59:26,2017-12-22 22:59:26,0.163s,PASSED
,,,,,,
Test Cases/Add Member,Chrome 63.0.3239.84,,2017-12-22 22:59:26,2017-12-22 22:59:38,11.928s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 22:59:27,2017-12-22 22:59:36,9.249s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 22:59:36,2017-12-22 22:59:37,0.714s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 22:59:37,2017-12-22 22:59:37,0.209s,PASSED
setText,Chrome 63.0.3239.84,,2017-12-22 22:59:37,2017-12-22 22:59:37,0.304s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 22:59:37,2017-12-22 22:59:37,0.143s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2017-12-22 22:59:37,2017-12-22 22:59:38,0.850s,PASSED
,,,,,,
Test Cases/Delete Member,Chrome 63.0.3239.84,,2017-12-22 22:59:38,2017-12-22 22:59:49,10.289s,PASSED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 22:59:39,2017-12-22 22:59:48,9.265s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 22:59:48,2017-12-22 22:59:49,0.697s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 22:59:49,2017-12-22 22:59:49,0.138s,PASSED
,,,,,,
Test Cases/Edit Fleet Administrator Profile,Chrome 63.0.3239.84,,2017-12-22 22:59:49,2017-12-22 23:00:04,15.096s,FAILED
callTestCase,Chrome 63.0.3239.84,,2017-12-22 22:59:49,2017-12-22 22:59:59,10.319s,PASSED
openBrowser,Chrome 63.0.3239.84,,2017-12-22 22:59:59,2017-12-22 23:00:03,4.148s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 23:00:03,2017-12-22 23:00:04,0.397s,FAILED
,,,,,,
Test Cases/Logout,Chrome 63.0.3239.84,,2017-12-22 23:00:04,2017-12-22 23:00:42,38.228s,FAILED
openBrowser,Chrome 63.0.3239.84,,2017-12-22 23:00:04,2017-12-22 23:00:08,3.911s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2017-12-22 23:00:08,2017-12-22 23:00:11,2.631s,PASSED
click,Chrome 63.0.3239.84,,2017-12-22 23:00:11,2017-12-22 23:00:42,31.506s,FAILED
